reg;stat
Бурятия;303
Республика Саха (Якутия);1267
Забайкальский край;897
Камчатский край;10
Приморский край;1979
Хабаровский край;1527
Амурская область;1777
Магаданская область;425
Сахалинская область;178
Еврейская автономная область;18
Чукотский автономный округ;171
