"Year,""Trade.Flow"",""Reporter"",""Commodity.Code"",""Trade.Value..US.."",""Group"""
"2014,""Exports"",""Ukraine"",201,137049,""CIS"""
"2014,""Exports"",""Ukraine"",201,1148368,""CIS"""
"2014,""Exports"",""Ukraine"",201,2871105,""CIS"""
"2014,""Exports"",""Ukraine"",201,1597176,""CIS"""
"2014,""Exports"",""Ukraine"",201,1215356,""CIS"""
"2014,""Exports"",""Ukraine"",201,2669012,""CIS"""
"2014,""Exports"",""Ukraine"",201,3723848,""CIS"""
"2014,""Exports"",""Ukraine"",201,3928273,""CIS"""
"2014,""Exports"",""Ukraine"",201,1625380,""CIS"""
"2014,""Exports"",""Ukraine"",201,1509666,""CIS"""
"2015,""Imports"",""Armenia"",201,2054,""CIS"""
"2015,""Imports"",""Armenia"",201,81,""CIS"""
"2015,""Imports"",""Armenia"",201,59,""CIS"""
"2015,""Imports"",""Armenia"",201,2886,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",201,65,""CIS"""
"2015,""Exports"",""Rep. of Moldova"",201,67,""CIS"""
"2015,""Exports"",""Ukraine"",201,199566,""CIS"""
"2015,""Exports"",""Ukraine"",201,2007558,""CIS"""
"2016,""Imports"",""Azerbaijan"",201,7819,""CIS"""
"2016,""Imports"",""Azerbaijan"",201,15470,""CIS"""
"2016,""Imports"",""Azerbaijan"",201,54995,""CIS"""
"2016,""Imports"",""Azerbaijan"",201,15586,""CIS"""
"2016,""Imports"",""Azerbaijan"",201,23610,""CIS"""
"2016,""Imports"",""Azerbaijan"",201,9048,""CIS"""
"2016,""Imports"",""Azerbaijan"",201,8945,""CIS"""
"2016,""Imports"",""Azerbaijan"",201,19423,""CIS"""
"2016,""Imports"",""Armenia"",201,1130,""CIS"""
"2016,""Imports"",""Armenia"",201,264,""CIS"""
"2016,""Imports"",""Armenia"",201,1845,""CIS"""
"2016,""Imports"",""Armenia"",201,3488,""CIS"""
"2016,""Imports"",""Armenia"",201,4427,""CIS"""
"2016,""Imports"",""Armenia"",201,171,""CIS"""
"2016,""Imports"",""Armenia"",201,8502,""CIS"""
"2016,""Imports"",""Armenia"",201,9593,""CIS"""
"2016,""Imports"",""Armenia"",201,13220,""CIS"""
"2016,""Imports"",""Armenia"",201,12601,""CIS"""
"2016,""Imports"",""Armenia"",201,3776,""CIS"""
"2016,""Imports"",""Armenia"",201,7129,""CIS"""
"2016,""Imports"",""Kyrgyzstan"",201,30,""CIS"""
"2016,""Exports"",""Ukraine"",201,22,""CIS"""
"2016,""Exports"",""Ukraine"",201,38,""CIS"""
"2016,""Exports"",""Ukraine"",201,177,""CIS"""
"2016,""Exports"",""Ukraine"",201,12,""CIS"""
"2016,""Exports"",""Ukraine"",201,103,""CIS"""
"2017,""Imports"",""Azerbaijan"",201,17764,""CIS"""
"2017,""Imports"",""Azerbaijan"",201,14780,""CIS"""
"2017,""Imports"",""Azerbaijan"",201,19881,""CIS"""
"2017,""Imports"",""Azerbaijan"",201,20991,""CIS"""
"2017,""Imports"",""Armenia"",201,5420,""CIS"""
"2017,""Imports"",""Armenia"",201,4557,""CIS"""
"2017,""Imports"",""Armenia"",201,5106,""CIS"""
"2017,""Imports"",""Armenia"",201,5761,""CIS"""
"2017,""Imports"",""Armenia"",201,4308,""CIS"""
"2017,""Imports"",""Armenia"",201,3066,""CIS"""
"2017,""Imports"",""Armenia"",201,6861,""CIS"""
"2017,""Imports"",""Armenia"",201,4194,""CIS"""
"2017,""Imports"",""Armenia"",201,5234,""CIS"""
"2017,""Imports"",""Armenia"",201,6879,""CIS"""
"2017,""Imports"",""Armenia"",201,3720,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",201,787,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",201,25,""CIS"""
"2017,""Exports"",""Ukraine"",201,26,""CIS"""
"2018,""Imports"",""Azerbaijan"",201,14050,""CIS"""
"2018,""Imports"",""Azerbaijan"",201,17760,""CIS"""
"2018,""Imports"",""Azerbaijan"",201,15455,""CIS"""
"2018,""Imports"",""Azerbaijan"",201,21864,""CIS"""
"2018,""Imports"",""Armenia"",201,1103,""CIS"""
"2018,""Imports"",""Armenia"",201,1966,""CIS"""
"2018,""Imports"",""Armenia"",201,12924,""CIS"""
"2018,""Imports"",""Armenia"",201,4976,""CIS"""
"2018,""Imports"",""Armenia"",201,5840,""CIS"""
"2018,""Imports"",""Armenia"",201,10512,""CIS"""
"2018,""Exports"",""Armenia"",201,287,""CIS"""
"2018,""Imports"",""Armenia"",201,9061,""CIS"""
"2018,""Imports"",""Armenia"",201,864,""CIS"""
"2018,""Imports"",""Armenia"",201,3612,""CIS"""
"2018,""Imports"",""Armenia"",201,15263,""CIS"""
"2018,""Imports"",""Armenia"",201,12731,""CIS"""
"2018,""Imports"",""Armenia"",201,19506,""CIS"""
"2018,""Exports"",""Ukraine"",201,38,""CIS"""
"2018,""Exports"",""Ukraine"",201,94,""CIS"""
"2018,""Exports"",""Ukraine"",201,101,""CIS"""
"2018,""Exports"",""Ukraine"",201,87,""CIS"""
"2019,""Imports"",""Azerbaijan"",201,27453,""CIS"""
"2019,""Imports"",""Azerbaijan"",201,19397,""CIS"""
"2019,""Imports"",""Azerbaijan"",201,19991,""CIS"""
"2019,""Imports"",""Azerbaijan"",201,19674,""CIS"""
"2019,""Imports"",""Azerbaijan"",201,8609,""CIS"""
"2019,""Imports"",""Azerbaijan"",201,8797,""CIS"""
"2019,""Imports"",""Azerbaijan"",201,9338,""CIS"""
"2019,""Imports"",""Armenia"",201,947,""CIS"""
"2019,""Imports"",""Armenia"",201,192,""CIS"""
"2019,""Imports"",""Armenia"",201,1044,""CIS"""
"2019,""Imports"",""Armenia"",201,28101,""CIS"""
"2019,""Imports"",""Armenia"",201,17626,""CIS"""
"2019,""Imports"",""Armenia"",201,15668,""CIS"""
"2019,""Imports"",""Armenia"",201,107,""CIS"""
"2019,""Imports"",""Armenia"",201,2540,""CIS"""
"2019,""Imports"",""Armenia"",201,3328,""CIS"""
"2019,""Imports"",""Armenia"",201,347,""CIS"""
"2019,""Imports"",""Armenia"",201,1202,""CIS"""
"2019,""Imports"",""Armenia"",201,166,""CIS"""
"2019,""Exports"",""Ukraine"",201,181,""CIS"""
"2019,""Exports"",""Ukraine"",201,61,""CIS"""
"2019,""Exports"",""Ukraine"",201,34,""CIS"""
"2020,""Imports"",""Azerbaijan"",201,10469,""CIS"""
"2020,""Imports"",""Azerbaijan"",201,8610,""CIS"""
"2020,""Imports"",""Azerbaijan"",201,11215,""CIS"""
"2020,""Exports"",""Armenia"",201,10017,""CIS"""
"2020,""Imports"",""Armenia"",201,16323,""CIS"""
"2020,""Imports"",""Armenia"",201,2866,""CIS"""
"2020,""Imports"",""Armenia"",201,5445,""CIS"""
"2020,""Imports"",""Armenia"",201,634,""CIS"""
"2020,""Imports"",""Armenia"",201,1184,""CIS"""
"2020,""Imports"",""Kyrgyzstan"",201,1247,""CIS"""
"2020,""Imports"",""Rep. of Moldova"",201,30839,""CIS"""
"2020,""Imports"",""Rep. of Moldova"",201,43489,""CIS"""
"2020,""Imports"",""Rep. of Moldova"",201,43823,""CIS"""
"2020,""Imports"",""Rep. of Moldova"",201,38353,""CIS"""
"2020,""Imports"",""Rep. of Moldova"",201,27304,""CIS"""
"2020,""Imports"",""Rep. of Moldova"",201,53586,""CIS"""
"2020,""Exports"",""Ukraine"",201,378,""CIS"""
"2020,""Exports"",""Ukraine"",201,372,""CIS"""
"2020,""Exports"",""Ukraine"",201,66,""CIS"""
"2020,""Exports"",""Ukraine"",201,61,""CIS"""
"2020,""Exports"",""Ukraine"",201,160,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,61892,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,60914,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,27953,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,504656,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,280165,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,140413,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,348700,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,353363,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,489237,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,776100,""CIS"""
"2010,""Exports"",""Rep. of Moldova"",202,944537,""CIS"""
"2010,""Exports"",""Ukraine"",202,1932930,""CIS"""
"2010,""Exports"",""Ukraine"",202,3596705,""CIS"""
"2010,""Exports"",""Ukraine"",202,7273626,""CIS"""
